"","Triad","Narration","Listener","OldOrNew","Transcript","Audience","Hedges","Rising Intonation","ID"
"1",1,1,1,"New","it’s a uh a roadrunner and coyote cartoon","okay",NA,NA,"1-1-1-New"
"2",1,1,1,"New","you’ve seen that before right?","yeah",NA,NA,"1-1-1-New"
"3",1,1,1,"New","okay",NA,NA,NA,"1-1-1-New"
"4",1,1,1,"New","so it starts off and the coyote’s got a fork and a knife",NA,NA,NA,"1-1-1-New"
"5",1,1,1,"New","and he’s chasinn’ the roadrunner",NA,NA,NA,"1-1-1-New"
"6",1,1,1,"New","and then they stop on each of them",NA,NA,NA,"1-1-1-New"
"7",1,1,1,"New","and they give them like the Latin names underneath",NA,"like",NA,"1-1-1-New"
"8",1,1,1,"New","it’s like acc acceleritis you know maximus",NA,"like, you know",NA,"1-1-1-New"
"9",1,1,1,"New","and carnivorus vulgaris ? is the coyote",NA,NA,"?","1-1-1-New"
"10",1,1,1,"New","and he misses him with the fork and the knife",NA,NA,NA,"1-1-1-New"
"11",1,1,1,"New","and gets stuck on the ground","okay",NA,NA,"1-1-1-New"
"12",1,1,1,"New","and uh so he sits there and he’s trying to think of a plan",NA,NA,NA,"1-1-1-New"
"13",1,1,1,"New","you know to get the roadrunner back",NA,"you know",NA,"1-1-1-New"
"14",1,1,1,"New","and he ends up tying a boxing glove",NA,NA,NA,"1-1-1-New"
"15",1,1,1,"New","on a huge spring ? to this rock","okay",NA,"?","1-1-1-New"
"16",1,1,1,"New","and it’s like a belt around the rock and everything",NA,"like, and everything",NA,"1-1-1-New"
"17",1,1,1,"New","and he puts on this clip",NA,NA,NA,"1-1-1-New"
"18",1,1,1,"New","and he’s like alright I’m gonna punch the roadrunner as he runs by",NA,"like",NA,"1-1-1-New"
"19",1,1,1,"New","as he runs by",NA,NA,NA,"1-1-1-New"
"20",1,1,1,"New","he lets go of the clip",NA,NA,NA,"1-1-1-New"
"21",1,1,1,"New","and the whole rock flies back",NA,NA,NA,"1-1-1-New"
"22",1,1,1,"New","smashes him into the wall",NA,NA,NA,"1-1-1-New"
"23",1,1,1,"New","and the boxing glove comes back and hits him in the face","oh",NA,NA,"1-1-1-New"
"24",1,1,1,"New","and then he’s thinking of a new plan",NA,NA,NA,"1-1-1-New"
"25",1,1,1,"New","so you see blueprint of him",NA,NA,NA,"1-1-1-New"
"26",1,1,1,"New","and he’s got a um",NA,NA,NA,"1-1-1-New"
"27",1,1,1,"New","like a tight tightrope I guess ? like like a tight wire ?",NA,"like, I guess, like, like","?, ?","1-1-1-New"
"28",1,1,1,"New","ur over two cliffs and there’s a road underneath","okay okay",NA,NA,"1-1-1-New"
"29",1,1,1,"New","and he’s gonna drop an anvil on the roadrunner as he comes by","okay",NA,NA,"1-1-1-New"
"30",1,1,1,"New","so he takes the anvil in his arms",NA,NA,NA,"1-1-1-New"
"31",1,1,1,"New","and it’s real heavy",NA,NA,NA,"1-1-1-New"
"32",1,1,1,"New","and he’s and he walks on the rope",NA,NA,NA,"1-1-1-New"
"33",1,1,1,"New","and the rope stretches all the way down to the ground","okay",NA,NA,"1-1-1-New"
"34",1,1,1,"New","the roadrunner comes over",NA,NA,NA,"1-1-1-New"
"35",1,1,1,"New","just beeps in his face",NA,"just",NA,"1-1-1-New"
"36",1,1,1,"New","and runs away",NA,NA,NA,"1-1-1-New"
"37",1,1,1,"New","so he throws the anvil down the ground",NA,NA,NA,"1-1-1-New"
"38",1,1,1,"New","he gets shot up in the air",NA,NA,NA,"1-1-1-New"
"39",1,1,1,"New","and as he’s going all the way up in the air he’s y you see his back ?",NA,NA,"?","1-1-1-New"
"40",1,1,1,"New","and he’s got a parachute on ?",NA,NA,"?","1-1-1-New"
"41",1,1,1,"New","and he’s like okay I’m gonna be fine",NA,"like",NA,"1-1-1-New"
"42",1,1,1,"New","and he lets the parachute go ?",NA,NA,"?","1-1-1-New"
"43",1,1,1,"New","all these cans",NA,NA,NA,"1-1-1-New"
"44",1,1,1,"New","and like sandwiches and apples and stuff flying out",NA,"like, and stuff",NA,"1-1-1-New"
"45",1,1,1,"New","and he grabs something as it’s flying out and it’s a bottle of aspirin",NA,NA,NA,"1-1-1-New"
"46",1,1,1,"New","he  just takes a whole bunch of aspirin",NA,"just",NA,"1-1-1-New"
"47",1,1,1,"New","and he just goes like this",NA,"just",NA,"1-1-1-New"
"48",1,1,1,"New","and falls all the way to the ground",NA,NA,NA,"1-1-1-New"
"49",1,1,1,"New","um and then",NA,NA,NA,"1-1-1-New"
"50",1,1,1,"New","you see him chasing the roadrunner again",NA,NA,NA,"1-1-1-New"
"51",1,1,1,"New","they go all the way to this it’s called the old cactus mine","okay",NA,NA,"1-1-1-New"
"52",1,1,1,"New","and they’re they’re running through an abandoned mine shaft",NA,NA,NA,"1-1-1-New"
"53",1,1,1,"New","I guess it is",NA,"I guess",NA,"1-1-1-New"
"54",1,1,1,"New","and  the roadrunner’s got on",NA,NA,NA,"1-1-1-New"
"55",1,1,1,"New","a hat with a green light on it ?","yeah",NA,"?","1-1-1-New"
"56",1,1,1,"New","and the coyote’s got a hat on with a red light on it",NA,NA,NA,"1-1-1-New"
"57",1,1,1,"New","so they they go to a like a cut scene",NA,"like",NA,"1-1-1-New"
"58",1,1,1,"New","where you see like the whole maze of the whole thing",NA,"like",NA,"1-1-1-New"
"59",1,1,1,"New","you see two lights chasing each other around",NA,NA,NA,"1-1-1-New"
"60",1,1,1,"New","and um the roadrunner eventually loses thee uh the coyote",NA,NA,NA,"1-1-1-New"
"61",1,1,1,"New","and he he like falls all around and everything",NA,"like, and everything",NA,"1-1-1-New"
"62",1,1,1,"New","his hat goes out",NA,NA,NA,"1-1-1-New"
"63",1,1,1,"New","so he lights a match",NA,NA,NA,"1-1-1-New"
"64",1,1,1,"New","Listener",NA,NA,NA,"1-1-1-New"
"65",1,1,1,"New","and he’s in a whole like tnt like stock room or whatever",NA,"like, like, or whatever",NA,"1-1-1-New"
"66",1,1,1,"New","and the whole thing blows up",NA,NA,NA,"1-1-1-New"
"67",1,1,1,"New","then you see um above there’s a whole bunch of cactuses and stuff",NA,"and stuff",NA,"1-1-1-New"
"68",1,1,1,"New","and they all get blown up and come back to the ground",NA,NA,NA,"1-1-1-New"
"69",1,1,1,"New","and it says YIPE",NA,NA,NA,"1-1-1-New"
"70",1,1,1,"New","and then it’s over so that’s all the cartoon","I see",NA,NA,"1-1-1-New"
"71",1,2,2,"New","okay so the cartoon starts out with uh",NA,NA,NA,"1-2-2-New"
"72",1,2,2,"New","the coyote chasing the roadrunner",NA,NA,NA,"1-2-2-New"
"73",1,2,2,"New","it’s a coyote and roadrunner cartoon","okay",NA,NA,"1-2-2-New"
"74",1,2,2,"New","and the coyote is chasing with a fork and a knife",NA,NA,NA,"1-2-2-New"
"75",1,2,2,"New","and they they slow it down ? and then like they stop",NA,"like","?","1-2-2-New"
"76",1,2,2,"New","and they give them the Latin names underneath ?",NA,NA,"?","1-2-2-New"
"77",1,2,2,"New","and he’s got like acceleritis maximus",NA,"like",NA,"1-2-2-New"
"78",1,2,2,"New","and then the coyote’s got carnivorus vulgaris or something",NA,"or something",NA,"1-2-2-New"
"79",1,2,2,"New","you know like they they give them like those names",NA,"you know, like, like",NA,"1-2-2-New"
"80",1,2,2,"New","and um he goes after him with the fork and knife",NA,NA,NA,"1-2-2-New"
"81",1,2,2,"New","and they get stuck in the ground",NA,NA,NA,"1-2-2-New"
"82",1,2,2,"New","and he’s sitting there and he’s trying to think of a new plan",NA,NA,NA,"1-2-2-New"
