path,phash,model,accuracy_presence,accuracy_count,jaccard,count
/home/asoubki/dev/hedging/data/zero-shot/mistralai_Mistral-7B-Instruct-v0.2_f29e32db45826d04_20240509.133629.csv.gz,f29e32db45826d04,Mistral-7B-Instruct-v0.2,0.23,0.15,0.65,100
/home/asoubki/dev/hedging/data/zero-shot/mistralai_Mistral-7B-Instruct-v0.2_f29e32db45826d04_20240508.212502.csv.gz,f29e32db45826d04,Mistral-7B-Instruct-v0.2,0.2374727668845316,0.18518518518518517,0.6535796417332365,5508
/home/asoubki/dev/hedging/data/zero-shot/mistralai_Mistral-7B-Instruct-v0.2_f29e32db45826d04_20240509.134341.csv.gz,f29e32db45826d04,Mistral-7B-Instruct-v0.2,0.24,0.15,0.6283333333333334,100
/home/asoubki/dev/hedging/data/zero-shot/gpt-3.5-turbo-0125_66e3fea13c8442d0_20240506.154046.csv.gz,66e3fea13c8442d0,gpt-3.5-turbo-0125,0.2821350762527233,0.21659404502541757,0.2069535221496006,5508
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.164647.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.165803.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.170105.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
/home/asoubki/dev/hedging/data/zero-shot/gpt-3.5-turbo-0125_b6257d2bcdb33215_20240506.155643.csv.gz,b6257d2bcdb33215,gpt-3.5-turbo-0125,0.395,0.335,0.3183333333333333,200
/home/asoubki/dev/hedging/data/zero-shot/gpt-3.5-turbo-0125_22f8913eff626b9e_20240506.162051.csv.gz,22f8913eff626b9e,gpt-3.5-turbo-0125,0.565,0.47,0.48,200
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.185354.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.6,0.6,0.6,5
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.185220.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.6,0.6,0.6,5
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.185118.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.6,0.6,0.6,5
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.184937.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.6,0.6,0.6,5
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.184454.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.6,0.6,0.6,5
/home/asoubki/dev/hedging/data/zero-shot/meta-llama_Meta-Llama-3-8B-Instruct_f29e32db45826d04_20240508.184320.csv.gz,f29e32db45826d04,Meta-Llama-3-8B-Instruct,0.6,0.6,0.6,5
